Test Case ID,Test Case Description,Optimization Level,Clarity Score,Granularity Score,Reuse Score,Performance Score
TC_PR_087,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,8,8,8,8
TC_PR_100,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,8,9,9,9
TC_MO_003,"Given the user is on the checkout page
When the user provides payment details
Then the payment should be processed",Moderately Optimized,5,5,5,6
TC_PO_005,"Settings page
Change profile
Save changes
Profile updated",Poorly Optimized,2,2,1,1
TC_PR_094,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,8,9,9,9
TC_MO_035,"Given the user is on the settings page
When the user updates profile information
Then the changes should be saved",Moderately Optimized,6,6,5,6
TC_PR_099,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,8,8,8
TC_PR_017,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,8,9,8,9
TC_PR_093,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,9,8,9,9
TC_MO_041,"Given the user is on the login page
When the user logs in with valid credentials
Then the user should see the dashboard",Moderately Optimized,5,5,6,5
TC_PO_003,"Checkout page
Enter payment
Payment done",Poorly Optimized,3,2,1,2
TC_MO_012,"Given the user is on the product page
When the user adds a product to the cart
Then the product should appear in the cart",Moderately Optimized,5,5,5,6
TC_PR_096,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,9,8,9,8
TC_PR_056,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,8,9,9,8
TC_MO_020,"Given the user is on the settings page
When the user updates profile information
Then the changes should be saved",Moderately Optimized,5,5,5,6
TC_PR_009,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,8,8,9
TC_PO_009,"On registration
Fill fields
Submit form
User registered",Poorly Optimized,2,3,3,1
TC_PR_040,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,8,8,9,9
